Episode,Reward,Epsilon,Duration_s,VisitedPairs,TD_Error
540,27.276,0.115,2.91,161550,0.091118
541,45.627,0.114,2.68,161849,0.152143
542,28.374,0.114,3.06,162148,0.095449
543,36.329,0.113,2.84,162447,0.121505
544,35.963,0.113,2.77,162746,0.1212
545,36.506,0.113,2.81,163045,0.122105
546,32.542,0.112,2.87,163344,0.108797
547,43.375,0.112,2.65,163643,0.145168
548,32.805,0.111,2.85,163942,0.110818
549,33.855,0.111,2.9,164241,0.116885
550,29.578,0.11,2.99,164540,0.099309
551,21.351,0.11,3.03,164839,0.081664
552,36.431,0.109,2.89,165138,0.123646
553,39.017,0.109,2.78,165437,0.131924
554,43.408,0.109,2.68,165736,0.145077
555,40.489,0.108,2.86,166035,0.135175
556,30.431,0.108,2.96,166334,0.10666
557,31.006,0.107,2.93,166633,0.104405
558,37.786,0.107,2.81,166932,0.126022
559,42.237,0.106,2.81,167231,0.140849
560,29.95,0.106,2.94,167530,0.09991
561,41.661,0.106,2.76,167829,0.143014
562,35.185,0.105,2.92,168128,0.117695
563,44.891,0.105,2.73,168427,0.15319
564,34.28,0.104,2.9,168726,0.115647
565,38.939,0.104,2.9,169025,0.131896
566,43.184,0.103,2.77,169324,0.144154
567,29.721,0.103,3.02,169623,0.099146
568,45.428,0.103,2.76,169922,0.151484
569,42.757,0.102,2.86,170221,0.142927
570,44.026,0.102,2.8,170520,0.147137
571,42.189,0.101,2.76,170819,0.141019
572,35.583,0.101,3.53,171118,0.118684
573,41.923,0.101,6.39,171417,0.140916
574,36.636,0.1,7.06,171716,0.122524
575,37.32,0.1,6.82,172014,0.124464
576,45.628,0.099,6.1,172313,0.152747
577,28.983,0.099,6.81,172612,0.096691
578,44.074,0.099,5.23,172911,0.147628
579,22.649,0.098,7.8,173210,0.077736
580,39.974,0.098,6.42,173509,0.134102
581,39.863,0.097,6.72,173807,0.13327
582,37.101,0.097,6.72,174106,0.124083
583,29.132,0.097,7.26,174405,0.098664
584,40.609,0.096,6.41,174704,0.135889
585,44.949,0.096,6.28,175003,0.151142
586,30.325,0.095,7.47,175302,0.101657
587,28.301,0.095,7.54,175601,0.095071
588,43.14,0.095,6.63,175899,0.145085
589,39.368,0.094,6.54,176198,0.131753
590,44.864,0.094,6.35,176497,0.149886
591,43.089,0.094,6.34,176796,0.144014
592,39.065,0.093,6.44,177095,0.130281
593,28.314,0.093,7.8,177394,0.094516
594,21.493,0.092,7.92,177693,0.07368
595,33.047,0.092,7.01,177992,0.110228
596,35.836,0.092,6.6,178291,0.119529
